Caso;Descripcion;Variation_Attributes;Monto Total de la Orden;Monto Total Abonado;Moneda utilizada;Tipo de Logistica;Estado del envio;Sub Estado del envio;Origen;Destino;Transportado por Proveedor;Dia de Entrega;Promesa de Entrega;Fecha limite de entrega;Estado de la Entrega;Delay de Entrega en HH:mm:ss
;;;;;;;;;;;;;;;;
1;Alcancia Unicornio Arco Iris Colores Niños Infantil Diseño;;1750;2349.99;ARS;self_service;delivered;;Deposito Vendedor;Estanzuela Del Rey 139;MAUMAU OBJETOS2;2021-12-20T00:00:00.000-03:00;2021-12-20T00:00:00.000-03:00;2021-12-23T00:00:00.000-03:00;Entregado en tiempo y forma;0:00:00
;;;;;;;;;;;;;;;;
2;Perfume Miss Dior Eau De Toilette X 100ml Orig. En 6 Cuotas;;4699;4699;ARS;drop_off;delivered;;Deposito Vendedor;Id agencia: 20099 Id Carrier: Roca 983;Correo Argentino;2019-11-21T10:45:53.000-04:00;2019-11-15T00:00:00.000-03:00;2019-12-03T00:00:00.000-03:00;Entrega retrasada;154:45:53
;;;;;;;;;;;;;;;;
3;Estante Flotante Repisa  Mensula Invisible 100x20x18mm Lanús / Bastones de Trekking / ;Id: COLOR  Name: Color  Value_Id: 52055  Value_Name: Blanco / Id: COLOR  Name: Color  Value_Id: 52053  Value_Name: Rojo / ;2319;2698.99;ARS;self_service;delivered;;Deposito Vendedor;Magallanes 1521;FABIO LI PRETI;2021-08-31T00:00:00.000-03:00;;2021-09-03T00:00:00.000-03:00;No fue posible calcular el tiempo del envio ya que la fecha de entega o la fecha prometida tienen valor nulo;No fue posible calcular el tiempo de delay ya que la fecha de entega o la fecha prometida tienen valor nulo
;;;;;;;;;;;;;;;;
4;Jgo De Sábanas Disney 1 1/2plazas Piñata 100% Orig Unicornio;Id: COLOR  Name: Color  Value_Id: None  Value_Name: unicornios / Id: FABRIC_DESIGN  Name: Diseño de la tela  Value_Id: 4585406  Value_Name: Estampada / ;3499;4113.99;ARS;fulfillment;delivered;;Deposito Propio;Ezeiza 2461;Sin Informacion;2021-08-05T12:52:31.000-04:00;2021-08-05T12:52:31.000-04:00;2021-08-20T00:00:00.000-03:00;Entregado en tiempo y forma;0:00:00
;;;;;;;;;;;;;;;;
5;Almohada Cannon Inteligente Viscoelástica Cervical (57cm X 37cm) O Clásica (62cm X 40cm) Gtía 1 Año! Cuotas Sin Interés!;Id: None  Name: Forma  Value_Id: None  Value_Name: Cervical / ;2564;2564;ARS;Sin datos de envio;Sin datos de envio;Sin datos de envio;Sin Datos;Sin Datos;Sin Informacion;Sin Datos;Sin Datos;Sin Datos;No fue posible calcular el tiempo del envio ya que la fecha de entega o la fecha prometida tienen valor nulo;No fue posible calcular el tiempo de delay ya que la fecha de entega o la fecha prometida tienen valor nulo
;;;;;;;;;;;;;;;;
6;Carpa 4 Personas Iglu Sobretecho + Abside Storm 210x 210x130;Id: COLOR  Name: Color  Value_Id: None  Value_Name: Rojo con Azul / ;4200.97;4200.97;ARS;cross_docking;delivered;;Deposito Vendedor;Id agencia: 125 Id Carrier: Av. Pres. Hipólito Yrigoyen 14343;Andreani;2019-12-02T12:27:43.000-04:00;2019-11-26T00:00:00.000-03:00;2019-12-11T00:00:00.000-03:00;Entrega retrasada;156:27:43
